,index,azul4.sa,azul4.sa_quant,azul4.sa_invest,petr4.sa,petr4.sa_quant,petr4.sa_invest,Date,azul4.sa_total,petr4.sa_total,total_yield,total_invest,yield
0,2022-08-16,17.270000457763672,200,2800,32.0099983215332,0,0,2022-08-16,3454.0000915527344,0.0,3454.0000915527344,2800,23.36
1,2022-08-17,17.770000457763672,200,2800,32.7599983215332,0,0,2022-08-17,3554.0000915527344,0.0,3554.0000915527344,2800,26.93
2,2022-08-18,17.309999465942383,200,2800,33.41999816894531,0,0,2022-08-18,3461.9998931884766,0.0,3461.9998931884766,2800,23.64
3,2022-08-19,15.989999771118164,200,2800,31.729999542236328,0,0,2022-08-19,3197.999954223633,0.0,3197.999954223633,2800,14.21
4,2022-08-22,15.699999809265137,200,2800,32.40999984741211,0,0,2022-08-22,3139.9999618530273,0.0,3139.9999618530273,2800,12.14
5,2022-08-23,16.90999984741211,200,2800,33.439998626708984,0,0,2022-08-23,3381.999969482422,0.0,3381.999969482422,2800,20.79
6,2022-08-24,17.260000228881836,200,2800,33.63999938964844,0,0,2022-08-24,3452.000045776367,0.0,3452.000045776367,2800,23.29
7,2022-08-25,18.229999542236328,200,2800,33.279998779296875,100,3200,2022-08-25,3645.9999084472656,3327.9998779296875,6973.999786376953,6000,16.23
8,2022-08-26,17.399999618530273,200,2800,33.63999938964844,100,3200,2022-08-26,3479.9999237060547,3363.9999389648438,6843.999862670898,6000,14.07
9,2022-08-29,17.350000381469727,200,2800,34.47999954223633,100,3200,2022-08-29,3470.0000762939453,3447.999954223633,6918.000030517578,6000,15.3
10,2022-08-30,16.510000228881836,200,2800,32.43000030517578,100,3200,2022-08-30,3302.000045776367,3243.000030517578,6545.000076293945,6000,9.08
11,2022-08-31,16.489999771118164,200,2800,33.22999954223633,100,3200,2022-08-31,3297.999954223633,3322.999954223633,6620.999908447266,6000,10.35
12,2022-09-01,16.579999923706055,200,2800,33.849998474121094,100,3200,2022-09-01,3315.999984741211,3384.9998474121094,6700.99983215332,6000,11.68
13,2022-09-02,16.100000381469727,200,2800,33.41999816894531,100,3200,2022-09-02,3220.0000762939453,3341.9998168945312,6561.999893188477,6000,9.37
14,2022-09-05,16.399999618530273,200,2800,33.34000015258789,100,3200,2022-09-05,3279.9999237060547,3334.000015258789,6613.999938964844,6000,10.23
15,2022-09-06,15.329999923706055,200,2800,32.099998474121094,100,3200,2022-09-06,3065.999984741211,3209.9998474121094,6275.99983215332,6000,4.6
16,2022-09-08,16.31999969482422,200,2800,31.799999237060547,100,3200,2022-09-08,3263.9999389648438,3179.9999237060547,6443.999862670898,6000,7.4
17,2022-09-09,17.520000457763672,200,2800,31.790000915527344,100,3200,2022-09-09,3504.0000915527344,3179.0000915527344,6683.000183105469,6000,11.38
18,2022-09-12,17.420000076293945,200,2800,31.479999542236328,100,3200,2022-09-12,3484.000015258789,3147.999954223633,6631.999969482422,6000,10.53
19,2022-09-13,16.969999313354492,200,2800,30.649999618530273,100,3200,2022-09-13,3393.9998626708984,3064.9999618530273,6458.999824523926,6000,7.65
20,2022-09-14,16.8700008392334,200,2800,31.1200008392334,100,3200,2022-09-14,3374.0001678466797,3112.00008392334,6486.0002517700195,6000,8.1
21,2022-09-15,17.100000381469727,200,2800,31.059999465942383,100,3200,2022-09-15,3420.0000762939453,3105.9999465942383,6526.000022888184,6000,8.77
22,2022-09-16,16.799999237060547,200,2800,30.780000686645508,100,3200,2022-09-16,3359.9998474121094,3078.000068664551,6437.99991607666,6000,7.3
23,2022-09-19,17.75,200,2800,31.270000457763672,100,3200,2022-09-19,3550.0,3127.000045776367,6677.000045776367,6000,11.28
24,2022-09-20,17.8700008392334,200,2800,31.09000015258789,100,3200,2022-09-20,3574.0001678466797,3109.000015258789,6683.000183105469,6000,11.38
25,2022-09-21,17.489999771118164,200,2800,31.170000076293945,100,3200,2022-09-21,3497.999954223633,3117.0000076293945,6614.999961853027,6000,10.25
